Employer_No,Cash_Received_Date,Total_Amt
100588,2017-07-24,1194.7
100471,2018-04-13,2239.77
100116,2018-05-30,639.97
100116,2018-10-05,9095.84
100667,2017-08-22,10.0
100503,2017-08-23,593.75
100146,2018-02-21,486.63
100146,2018-03-02,299.08
100503,2018-05-23,752.08
100146,2018-05-17,303.73
100717,2018-05-11,99.59
100893,2018-01-16,964.33
100058,2018-07-24,438.52
100818,2018-06-29,712.5
100414,2018-07-17,476.52
100893,2018-10-16,1089.47
100194,2017-09-13,2164.48
100602,2017-09-15,1318.53
100098,2017-09-06,596.89
100558,2017-09-14,3151.0
100851,2017-10-04,26146.82
100555,2017-09-13,4627.14
100665,2017-10-06,5026.03
100503,2017-09-14,910.42
100179,2017-10-17,1710.0
100836,2017-08-31,555.28
100605,2017-08-03,2604.52
100893,2017-08-23,347.13
100514,2018-07-02,753.52
100555,2018-06-29,6170.99
100863,2018-06-29,36.1
100764,2018-11-23,783.75
100882,2018-10-03,2055.3
100414,2018-09-19,261.77
100146,2018-11-26,293.17
100116,2017-08-23,457.12
100753,2018-04-10,410.88
100753,2017-07-13,377.79
100588,2018-04-27,1250.08
100945,2018-07-27,4450.91
100851,2018-05-28,4937.78
100471,2018-01-12,1524.31
100403,2018-02-15,1155.2
100088,2017-12-11,438.23
100851,2017-09-18,1700.81
100058,2018-03-07,707.12
100851,2017-09-18,22856.29
100717,2018-05-11,13.2
100305,2018-07-09,292.27
100503,2018-11-13,1267.99
100116,2017-07-06,1869.21
100471,2017-07-06,455.5
100558,2018-02-19,4964.17
100673,2018-06-27,572.09
100893,2018-07-26,799.31
100403,2017-12-14,548.72
100471,2018-07-09,3975.86
100764,2018-09-10,3525.07
100764,2018-09-10,6618.5
100764,2018-09-10,856.02
100764,2018-09-10,804.3
100764,2018-09-10,576.89
100555,2018-08-15,7951.39
100503,2018-08-28,1188.82
100146,2018-08-02,345.8
100717,2018-09-25,173.97
100673,2017-09-20,362.71
100058,2017-12-04,438.52
100031,2017-10-30,585.18
100514,2018-07-02,792.97
100555,2018-10-19,8415.61
100146,2018-10-15,361.85
100503,2018-03-14,752.08
100759,2018-07-18,38.0
100514,2017-11-20,548.46
100863,2017-09-27,415.15
100563,2017-10-18,3206.55
100851,2017-08-28,22239.17
100555,2017-07-03,5465.82
100481,2017-08-01,598.5
100768,2018-06-29,1097.19
100555,2017-11-16,5889.3
100863,2017-11-10,339.34
100563,2017-11-03,1362.38
100058,2018-10-04,456.0
100665,2018-09-18,3981.81
100503,2018-09-19,1426.32
100602,2017-11-24,1227.84
100563,2017-10-18,1694.98
100945,2018-05-03,2627.88
100602,2017-09-15,1146.58
100058,2018-05-14,885.26
100818,2018-06-04,1092.5
100555,2018-04-16,6070.11
100514,2018-04-09,444.95
100602,2017-09-15,1118.78
100098,2017-08-03,380.0
100863,2017-08-04,332.12
100563,2017-08-01,2405.84
100673,2018-07-04,373.76
100116,2017-08-23,685.68
100366,2018-06-22,152.59
100031,2018-03-26,472.91
100964,2018-02-08,1312.77
100305,2018-02-23,158.39
100673,2018-07-04,129.84
100673,2018-07-05,39.57
100098,2017-11-16,433.79
100558,2017-12-01,4768.3
100605,2018-02-05,4407.77
100588,2018-01-15,1238.11
100764,2018-11-19,14395.34
100764,2018-11-19,330.01
100764,2018-11-19,1052.79
100764,2018-11-19,299.87
100764,2018-11-19,47.74
100305,2018-06-28,897.75
100764,2018-09-10,317.06
100764,2018-09-10,538.65
100764,2018-09-10,59.85
100483,2018-11-01,1852.5
100563,2018-10-09,6192.16
100605,2018-10-09,866.4
100555,2018-09-18,6342.19
100667,2018-04-20,554.58
100863,2018-03-14,361.0
100116,2018-05-30,7610.2
100305,2018-02-13,43.89
100305,2018-02-13,1383.57
100673,2018-11-20,1312.68
100667,2017-10-27,184.86
100031,2017-10-02,585.18
100764,2018-12-18,68.4
100403,2017-11-03,1261.7
100558,2018-04-23,5816.59
100717,2018-05-11,211.17
100199,2018-12-06,658.0
100673,2018-05-22,388.37
100665,2018-08-15,5639.5
100665,2018-07-30,4665.7
100667,2018-09-18,277.29
100764,2018-12-18,1973.08
100031,2017-08-25,585.18
100845,2018-12-21,180.03
100116,2018-05-30,479.98
100673,2018-04-09,455.56
100964,2018-02-08,1312.77
100403,2017-10-26,490.96
100665,2017-08-22,7049.18
100851,2017-12-13,18789.3
100673,2017-12-19,550.83
100503,2017-12-18,752.08
100212,2017-10-26,51.98
100199,2019-01-08,658.0
100667,2018-08-21,462.15
100764,2018-11-19,1488.65
100503,2018-12-14,185.1
100851,2017-11-20,20622.57
100058,2017-11-16,438.52
100764,2018-12-18,957.22
100764,2018-12-18,800.57
100764,2018-12-18,205.2
100764,2018-12-18,112.22
100764,2018-12-18,17356.71
100764,2018-12-18,3788.36
100764,2018-12-18,676.03
100605,2017-11-02,4214.37
100116,2018-02-01,106.97
100116,2018-02-01,46.12
100673,2018-02-20,215.21
100116,2017-08-23,1557.7
100403,2018-05-25,243.2
100925,2018-02-07,871.92
100146,2017-11-07,2146.14
100058,2018-02-02,438.52
100514,2018-04-09,364.62
100088,2018-01-18,441.27
100503,2018-01-18,752.08
100471,2018-07-09,1087.35
100673,2017-12-29,336.44
100058,2017-12-29,468.67
100818,2018-01-30,395.83
100514,2018-04-09,257.69
100863,2017-12-05,451.25
100563,2018-02-13,1337.41
100753,2018-01-05,410.88
100667,2018-05-29,462.15
100673,2018-10-31,893.49
100764,2018-10-17,86.64
100764,2018-10-17,88.94
100764,2018-10-17,358.63
100764,2018-10-17,9170.63
100764,2018-10-17,2041.97
100764,2018-10-17,303.36
100764,2018-10-17,1940.3
100764,2018-10-17,191.33
100088,2018-02-14,123.12
100945,2018-11-08,10430.65
100058,2018-11-08,456.0
100558,2018-10-22,5924.71
100471,2018-10-15,1116.44
100915,2018-10-15,25.53
100098,2017-07-05,380.0
100558,2017-07-26,2949.87
100851,2017-08-02,27323.88
100828,2017-07-21,4096.24
100558,2018-06-22,8707.98
100558,2019-01-08,64.37
100088,2017-11-08,368.17
100194,2018-11-21,364.8
100836,2018-03-05,2891.33
100212,2018-11-01,547.2
100673,2018-08-21,807.6
100673,2018-09-18,779.76
100098,2017-10-05,433.79
100558,2017-10-19,3151.0
100471,2017-10-09,48.71
100667,2017-09-08,369.72
100058,2017-10-03,413.86
100483,2017-10-23,988.0
100925,2017-10-10,921.8
100818,2017-10-05,937.81
100558,2018-07-31,5338.91
100665,2018-06-14,3725.0
100146,2018-07-05,330.98
100717,2018-06-29,472.14
100851,2017-07-04,23646.41
100555,2018-03-13,5724.47
100058,2018-11-30,456.0
100555,2017-10-13,4674.76
100514,2017-11-20,421.87
100058,2017-08-18,440.25
100851,2018-06-18,714.71
100058,2018-07-02,438.52
100818,2018-06-29,870.83
100503,2018-06-21,752.08
100146,2018-07-05,351.97
100717,2018-06-29,220.17
100558,2017-08-10,3151.0
100555,2017-08-15,5668.06
100945,2017-11-06,425.26
100588,2017-10-13,1231.62
100031,2017-07-26,585.18
100058,2018-05-31,438.52
100818,2018-06-04,870.83
100863,2018-05-14,361.0
100563,2018-05-18,1516.42
100665,2018-02-23,3898.76
100503,2017-12-18,752.08
100031,2017-11-27,585.18
100673,2018-12-18,1700.1
100555,2018-01-16,529.81
100768,2018-04-20,458.82
100555,2018-12-18,6481.96
100665,2018-12-20,4063.52
100503,2018-12-14,1267.99
100116,2017-08-23,195.31
100098,2018-02-08,433.79
100555,2018-02-14,6369.88
100514,2018-04-09,248.85
100563,2018-02-13,1499.6
100665,2018-02-23,3796.33
100031,2018-01-29,670.67
100667,2018-06-05,369.72
100588,2018-07-16,1057.76
100058,2017-09-21,540.21
100753,2018-04-05,410.88
100414,2018-06-07,575.28
100558,2018-09-07,6216.86
100665,2018-10-12,3959.02
100503,2018-10-18,1188.82
100558,2018-10-03,6044.14
100146,2018-10-15,429.78
100717,2018-09-25,127.19
100288,2018-10-24,306.92
100863,2017-10-26,332.12
100665,2017-10-27,4843.69
100503,2017-11-01,752.08
100836,2017-12-19,2307.46
100893,2017-11-20,1187.55
100602,2017-09-15,1025.15
100753,2017-10-11,377.79
100753,2017-10-11,377.79
100753,2017-10-11,501.77
100605,2018-04-16,2662.76
100925,2018-05-01,435.0
100563,2018-04-24,3032.84
100665,2018-05-18,3528.47
100514,2018-07-02,1088.3
100558,2018-05-10,5805.32
100555,2018-05-15,7216.76
100605,2018-06-26,904.31
100764,2018-11-23,1641.37
100414,2018-08-15,476.52
100667,2018-10-29,462.15
100194,2018-11-13,1529.12
100605,2018-06-26,1187.55
100403,2018-06-06,212.8
100665,2018-06-21,3633.97
100305,2018-06-28,584.83
100673,2017-08-30,380.01
100759,2018-07-18,47.0
100514,2017-11-20,388.79
100667,2017-08-22,184.86
100863,2017-07-17,332.12
100563,2017-07-05,2168.57
100503,2017-07-12,593.75
100483,2018-05-01,988.0
100483,2017-07-19,988.0
100925,2017-07-11,823.66
100667,2018-04-10,369.74
100146,2018-04-05,344.47
100717,2018-05-11,284.96
100964,2018-02-08,1312.77
100665,2018-05-18,479.0
100717,2018-03-06,728.72
100667,2017-11-03,554.58
100945,2018-02-01,2014.38
100483,2018-01-25,998.0
100366,2018-02-06,314.77
100098,2018-01-25,433.79
100558,2018-01-29,4369.88
100667,2018-02-02,369.72
100851,2018-02-07,10034.94
100818,2018-01-30,418.0
100555,2018-01-16,5806.34
100471,2018-01-12,2239.77
100863,2018-01-16,361.0
100563,2018-02-13,2221.84
100665,2018-02-23,5629.26
100031,2017-12-27,980.8
100555,2018-11-15,6075.04
100818,2018-01-30,418.0
100851,2018-04-30,9282.79
100863,2018-04-17,361.0
100503,2018-04-17,752.08
100146,2018-02-21,175.72
100602,2017-11-24,249.09
100818,2018-01-30,337.25
100759,2018-07-18,50.0
100514,2017-11-20,294.29
100665,2017-12-01,4467.8
100753,2017-11-09,410.88
100212,2018-11-01,51.19
100305,2018-10-11,2771.34
100471,2018-10-15,3942.74
100305,2018-06-28,429.14
100471,2018-07-09,2232.46
100673,2018-03-14,349.17
100116,2017-07-06,856.12
100469,2018-10-26,476.82
100673,2017-12-05,372.53
100764,2018-12-18,609.31
100471,2017-10-09,1210.06
100667,2018-02-02,277.29
100851,2018-04-03,10339.58
100471,2018-04-13,3621.14
100863,2018-02-06,451.25
100305,2018-04-06,1060.0
100403,2018-12-05,680.2
100558,2019-01-08,5924.72
100146,2018-12-10,375.44
100471,2018-01-12,845.6
100786,2018-06-14,389.88
100311,2018-12-21,2252.21
100666,2018-11-30,213.75
100107,2018-11-07,1182.1
100455,2018-11-01,698.26
100265,2017-07-20,1322.16
100762,2018-05-08,288.8
100653,2018-06-18,442.85
100754,2018-07-13,3542.2
100653,2018-07-18,654.77
100311,2018-12-21,2442.6
100804,2018-08-08,1392.34
100275,2018-07-31,250.0
100878,2018-08-08,5844.79
100028,2018-09-11,791.67
100754,2018-08-13,3411.5
100666,2018-09-04,136.8
100577,2018-08-06,556.17
100067,2018-10-03,800.0
100577,2018-10-01,441.1
100311,2017-07-20,3249.95
100786,2018-12-03,541.5
100311,2018-09-14,1935.72
100804,2018-05-08,1046.3
100577,2018-05-07,514.99
100164,2018-07-27,47.5
100086,2018-02-02,2113.76
100804,2019-01-08,1392.34
100220,2017-12-29,608.0
100804,2017-12-08,1896.89
100527,2017-12-28,409.96
100754,2017-12-13,3511.94
100666,2017-12-14,182.4
100669,2018-08-29,601.1
100878,2018-09-07,5676.6
100028,2018-09-11,791.67
100666,2018-04-04,148.2
100653,2018-03-19,442.85
100311,2018-08-16,2433.24
100804,2018-03-08,1469.86
100538,2018-04-17,583.92
100220,2017-09-01,866.89
100930,2017-07-05,712.4
100220,2018-11-02,105.46
100645,2018-02-12,41.48
100878,2018-02-08,4049.39
100311,2018-09-14,1961.86
100220,2018-04-03,608.0
100067,2018-05-10,1140.0
100653,2018-05-17,442.85
100930,2018-01-23,118.73
100976,2019-01-08,2351.0
100666,2018-08-08,144.4
100754,2018-10-12,3911.14
100762,2018-07-10,358.72
100976,2017-07-31,2318.0
100311,2017-12-06,2558.16
100804,2017-09-08,2108.67
100527,2017-09-26,409.96
100538,2017-09-14,756.7
100754,2017-09-13,3621.06
100107,2017-09-13,778.94
100538,2018-05-01,598.86
100976,2018-04-17,2742.0
100213,2018-04-03,170.9
100527,2017-07-06,368.96
100265,2018-07-25,1568.91
100220,2018-06-29,608.0
100053,2018-10-29,768.01
100099,2018-08-03,205.2
100067,2018-10-03,2000.0
100878,2018-04-09,383.65
100066,2018-10-19,2353.8
100804,2018-11-08,1342.18
100653,2018-11-20,442.85
100976,2018-11-06,2613.0
100577,2018-11-07,557.21
100875,2018-07-26,1497.27
100754,2017-08-11,3040.71
100325,2018-05-17,66.5
100072,2018-05-10,776.77
100754,2018-05-11,2975.98
100666,2018-06-13,180.5
100053,2018-07-20,783.73
100487,2018-01-18,1092.01
100275,2018-12-04,250.0
100486,2019-01-02,1871.36
100220,2017-12-01,839.8
100666,2018-03-01,252.7
100311,2018-06-21,1010.8
100275,2018-06-25,200.0
100878,2018-07-06,5676.59
100028,2018-09-07,791.67
100067,2018-10-03,600.0
100786,2018-08-01,433.2
100786,2018-08-01,433.2
100220,2018-10-04,76.95
100754,2018-11-13,4649.47
100486,2018-11-06,2339.2
100265,2018-11-14,1921.38
100538,2018-02-15,727.7
100976,2018-02-01,2136.0
100213,2018-02-21,341.8
100086,2017-07-24,1956.28
100220,2018-06-01,108.32
100487,2018-07-31,1103.53
100099,2018-02-26,69.26
100099,2018-02-26,205.2
100099,2018-02-26,205.2
100099,2018-02-26,102.6
100099,2018-02-26,205.2
100455,2017-10-27,535.71
100213,2018-02-21,341.8
100275,2017-11-20,250.0
100274,2017-12-22,377.02
100455,2018-08-01,558.6
100084,2018-10-05,73.03
100875,2018-04-18,998.2
100875,2018-01-10,112.27
100666,2017-11-02,220.4
100653,2017-11-17,442.85
100577,2018-07-02,442.22
100164,2018-07-27,247.0
100107,2018-10-03,788.06
100666,2018-10-31,165.3
100538,2018-10-22,623.51
100943,2018-10-19,255.36
100878,2018-03-08,3674.26
100028,2018-05-24,791.67
100878,2017-09-08,3624.53
100265,2017-09-26,995.06
100455,2017-09-01,669.66
100875,2017-09-28,397.64
100754,2017-07-14,2706.03
100164,2017-07-27,548.15
100976,2017-11-01,2438.0
100213,2017-11-29,341.8
100275,2017-10-24,200.0
100875,2017-12-22,397.64
100666,2018-09-24,198.55
100577,2018-09-03,459.15
100164,2018-10-26,258.68
100107,2018-08-31,788.06
100653,2018-09-19,478.8
100976,2018-04-17,211.0
100311,2017-12-06,2288.74
100311,2017-09-20,2796.8
100102,2017-08-02,189.53
100666,2018-04-27,96.9
100875,2018-03-27,397.64
100311,2017-09-20,2236.3
100804,2017-08-08,1778.25
100930,2017-10-30,1543.52
100099,2018-06-22,205.2
100220,2018-07-27,92.63
100053,2018-01-19,779.31
100527,2018-05-11,416.18
100275,2018-03-29,250.0
100878,2018-04-09,3863.15
100028,2018-05-24,791.67
100653,2018-04-19,442.85
100220,2018-06-01,760.0
100099,2018-05-11,184.68
100084,2018-07-04,130.03
100084,2018-07-04,21.38
100084,2018-07-04,42.75
100084,2018-07-04,110.44
100084,2018-07-04,172.78
100084,2018-07-04,126.47
100084,2018-07-04,114.53
100084,2018-07-04,375.13
100084,2018-07-04,171.0
100875,2018-06-27,182.46
100875,2018-06-27,316.63
100455,2018-05-02,545.11
100527,2017-11-29,488.69
100538,2017-11-21,587.43
100878,2017-11-08,4049.39
100028,2017-12-07,791.67
100577,2017-11-01,554.47
100274,2017-10-13,372.8
100976,2018-01-03,2182.0
100099,2018-09-18,196.21
100486,2018-10-02,1871.36
100786,2018-10-25,433.2
100275,2018-03-06,250.0
100107,2018-03-08,778.94
100213,2018-04-03,341.8
100067,2018-10-08,2541.97
100754,2017-10-13,3071.35
100220,2018-12-28,81.23
100086,2018-04-16,1472.49
100804,2018-04-09,1537.77
100084,2018-07-04,120.23
100086,2017-11-23,1644.24
100220,2018-03-02,84.08
100053,2017-10-19,854.26
100878,2018-05-08,219.23
100164,2018-10-26,496.62
100107,2018-08-10,783.5
100653,2018-08-20,423.85
100754,2018-09-13,3945.82
100099,2018-08-17,197.06
100220,2018-03-02,608.0
100976,2018-03-22,2559.0
100527,2018-11-28,496.09
100265,2017-10-23,1294.63
100875,2017-11-28,397.64
100274,2017-10-02,383.4
100274,2017-10-02,377.02
100274,2017-10-02,377.02
100053,2017-07-24,709.76
100575,2018-01-22,159.43
100099,2018-03-16,174.42
100086,2018-07-24,1982.19
100220,2017-07-28,694.94
100107,2017-08-07,778.94
100487,2017-10-26,1193.18
100426,2017-07-18,397.34
100220,2018-04-03,81.23
100099,2018-04-03,187.25
100362,2017-09-12,1392.95
100265,2017-11-27,1048.47
100455,2018-12-31,524.31
100455,2018-07-06,544.35
100274,2017-10-13,369.98
100220,2018-07-27,608.0
100786,2018-08-27,433.2
100564,2018-08-07,3716.88
100053,2018-07-20,104.56
100220,2018-10-04,608.0
100265,2018-10-05,1441.17
100455,2018-09-05,698.54
100786,2018-09-26,541.5
100575,2018-09-26,2203.03
100274,2017-12-22,369.98
100220,2017-07-28,128.82
100455,2017-07-28,535.71
100099,2018-05-25,214.18
100220,2017-10-27,780.91
100220,2018-12-28,608.0
100311,2018-06-21,303.24
100804,2018-01-08,1712.14
100878,2018-01-08,4049.4
100028,2017-12-07,791.67
100666,2018-01-31,181.45
100455,2018-01-19,520.13
100577,2018-01-04,476.7
100653,2018-01-16,442.85
100538,2017-12-18,718.03
100976,2017-12-06,2635.0
100213,2017-11-29,341.8
100275,2017-11-20,250.0
100878,2017-12-08,4049.4
100028,2017-12-07,791.67
100265,2018-01-03,1293.63
100455,2017-12-01,674.03
100577,2017-11-29,464.22
100164,2018-01-25,389.5
100164,2018-04-30,95.0
100084,2018-04-18,169.22
100099,2018-08-31,912.84
100878,2019-01-08,5847.42
100028,2018-11-27,950.0
100053,2018-04-24,827.78
100455,2018-04-17,544.35
100311,2018-12-21,2361.02
100804,2018-07-06,1166.57
100319,2018-07-06,127.3
100099,2018-06-08,205.2
100066,2018-11-09,3061.83
100878,2018-10-08,6270.35
100028,2018-11-27,1266.66
100527,2018-10-23,624.27
100265,2018-10-22,1566.06
100527,2017-07-31,409.96
100538,2017-07-03,736.49
100804,2018-06-08,1091.0
100527,2018-07-25,416.18
100538,2018-06-27,735.61
100455,2018-06-06,680.2
100577,2018-06-04,463.66
100099,2018-07-06,205.2
100099,2018-04-27,205.2
100487,2018-10-24,1236.95
100804,2017-10-06,1783.78
100527,2017-11-13,594.44
100455,2017-09-29,535.71
100666,2017-10-11,188.1
100220,2018-04-27,608.0
100527,2018-07-26,416.18
100538,2018-07-20,585.68
100976,2018-07-05,3741.0
100107,2018-07-09,778.94
100943,2018-07-24,680.96
100486,2018-07-02,1712.5
100786,2018-08-01,433.2
100527,2018-04-17,420.83
100577,2018-03-19,456.98
100275,2018-11-14,250.0
100220,2018-11-02,760.0
100538,2017-10-17,597.1
100976,2017-09-29,2468.0
100213,2017-10-24,341.8
100577,2017-09-27,467.62
100653,2017-10-19,447.6
100102,2017-08-08,156.04
100875,2017-07-27,397.64
100653,2017-07-19,635.77
100072,2018-01-09,839.09
100275,2018-01-19,200.0
100028,2018-05-22,791.67
100976,2018-06-11,2698.0
100878,2018-06-08,5676.6
100028,2018-05-24,791.67
100666,2018-06-29,197.6
100067,2018-10-03,600.0
100943,2018-07-24,595.84
100486,2018-06-19,1000.0
100527,2017-08-24,488.69
100538,2017-08-18,590.95
100875,2017-08-25,397.64
100653,2017-08-17,471.35
100107,2018-05-09,778.94
100275,2018-06-25,200.0
100107,2017-12-08,778.94
100875,2018-02-02,547.37
100653,2017-12-20,423.85
100220,2018-11-30,608.0
100220,2018-04-27,76.95
100878,2018-12-07,6220.12
100028,2018-11-27,633.33
100804,2018-12-07,1398.82
100976,2018-12-10,2703.0
100538,2019-01-04,594.8
100754,2018-12-17,3680.55
100653,2017-09-19,447.6
100804,2018-02-08,1518.13
100527,2018-03-26,488.69
100164,2018-04-30,38.0
100220,2018-02-02,760.0
100107,2018-02-07,782.54
100875,2018-01-31,397.64
100653,2018-02-16,635.77
100754,2018-06-14,4394.94
100164,2018-07-27,237.5
100666,2017-08-30,151.24
100577,2017-08-02,537.56
100976,2018-05-07,2574.0
100275,2018-05-11,250.0
100878,2018-05-08,4863.19
100028,2018-05-24,791.67
100486,2018-06-19,1191.36
100527,2018-09-12,496.09
100538,2018-08-22,608.48
100976,2018-08-29,2776.0
100943,2018-10-19,340.48
100486,2018-08-07,1403.52
100878,2018-09-07,274.04
100275,2018-10-11,250.0
100804,2018-09-07,1459.22
100527,2018-09-26,624.27
100943,2018-10-19,595.84
100486,2018-09-03,2339.2
100564,2018-12-17,1665.66
100107,2017-10-02,778.94
100878,2017-10-06,907.62
100976,2017-09-04,2272.0
100213,2017-10-06,341.8
100275,2017-08-28,200.0
100028,2017-12-07,791.67
100577,2017-08-30,438.85
100311,2017-09-20,2690.59
100804,2017-07-07,1563.86
100265,2018-05-02,3628.56
100164,2018-04-30,237.5
100107,2018-04-03,781.18
100311,2018-12-21,2214.45
100265,2018-06-22,1952.34
100762,2018-06-06,433.2
100213,2017-09-13,341.8
100275,2017-07-18,200.0
100878,2017-08-08,3408.14
100028,2017-12-07,791.67
100265,2017-08-28,1035.36
100527,2018-06-28,496.09
100538,2018-06-22,615.55
100265,2018-05-18,1185.37
100084,2018-10-05,123.8
100669,2018-11-07,1042.65
100762,2018-08-14,361.0
100538,2018-09-21,767.58
100976,2018-09-10,3219.0
100275,2018-08-30,250.0
100067,2018-10-03,600.0
100762,2018-09-11,564.7
100275,2017-10-24,200.0
100878,2017-10-06,3408.14
100028,2017-12-07,791.67
100976,2017-07-31,2318.0
100220,2018-11-30,75.53
100107,2018-06-20,1168.41
100538,2017-07-26,606.77
100213,2017-07-06,341.8
100275,2017-07-18,200.0
100878,2017-07-07,3408.14
100107,2017-07-05,778.94
100213,2017-07-06,341.8
100666,2017-08-03,406.6
100487,2017-07-21,886.51
100024,2017-07-24,49.7
100067,2018-04-03,8000.0
100943,2018-04-27,2042.88
100067,2018-05-17,3274.0
100067,2018-06-01,3500.0
100754,2017-11-13,2723.12
100107,2017-11-15,1168.41
100527,2018-02-08,409.96
100538,2018-01-17,589.19
100754,2018-01-12,3893.03
100265,2018-02-12,1039.06
100164,2018-01-25,228.0
100107,2018-01-24,778.94
100875,2018-01-31,397.64
100265,2018-08-21,1559.6
100164,2018-10-26,114.0
100976,2018-10-09,2652.0
100455,2018-09-27,558.79
100804,2018-10-08,1454.26
100653,2018-10-19,470.32
100028,2018-11-27,950.0
100538,2018-11-27,767.58
100666,2017-11-22,181.45
100577,2018-03-12,499.2
100220,2018-02-02,106.88
100754,2018-04-13,3189.9
100577,2018-04-20,490.06
100311,2018-02-16,1526.46
100804,2017-11-08,1532.17
100164,2018-01-25,199.5
100084,2018-07-04,114.0
100311,2017-07-20,2690.59
100220,2018-08-31,94.05
100086,2018-10-25,1753.84
100220,2018-08-31,760.0
100099,2018-07-20,207.77
100455,2018-03-07,816.53
100878,2018-11-08,6929.74
100028,2018-11-27,316.67
100220,2017-09-29,686.38
100084,2018-04-18,123.8
100084,2018-04-18,142.5
100084,2018-04-18,125.58
100084,2018-04-18,119.34
100084,2018-04-18,226.22
100084,2018-04-18,57.53
100084,2018-04-18,94.41
100754,2018-02-13,2176.32
100487,2018-05-01,1071.34
100099,2018-02-26,205.2
100099,2018-02-26,205.2
100099,2018-02-26,184.68
100099,2018-02-26,185.96
100099,2018-02-26,205.2
100099,2018-02-26,205.2
100099,2018-02-26,205.2
100099,2018-02-26,200.07
100099,2018-02-26,206.48
100099,2018-02-26,205.2
100099,2018-02-26,102.6
100099,2018-03-02,209.05
100577,2018-12-03,476.63
100220,2017-12-29,88.35
100107,2018-12-10,788.06
100653,2018-12-19,442.85
100455,2018-11-29,560.6
100527,2018-12-24,416.18
100666,2019-01-03,144.4
100486,2018-12-03,1871.36
100275,2018-12-04,250.0
100786,2018-12-24,433.2
100486,2018-04-03,3058.64
100220,2018-06-29,81.24
100362,2017-12-05,275.64
100099,2018-04-13,184.68
100274,2017-12-22,378.43
100274,2017-12-22,340.03
100274,2017-12-22,74.77
100525,2018-12-11,750.0
100625,2018-10-04,880.64
100638,2018-09-10,498.0
100232,2018-11-02,482.92
100638,2018-11-29,52.0
100465,2017-07-14,4303.0
100625,2018-06-20,887.78
100718,2018-07-02,129.47
100760,2018-06-28,438.46
100018,2018-07-26,688.31
100718,2018-07-13,91.44
100282,2018-08-14,510.64
100095,2018-09-04,1.0
100282,2018-09-14,549.0
100638,2018-10-15,635.0
100760,2018-10-12,438.46
100282,2018-12-12,624.58
100120,2017-08-24,607.95
100120,2018-06-20,378.15
100837,2018-05-23,475.0
100760,2018-12-27,465.86
100565,2018-01-12,806.72
100638,2017-12-27,344.9
100760,2017-12-29,657.69
100465,2018-07-12,4450.0
100837,2018-11-23,620.75
100232,2018-09-06,482.92
100434,2018-09-12,87.28
100728,2018-08-28,523.45
100760,2018-08-31,438.46
100525,2018-02-07,750.0
100234,2018-09-21,259.63
100095,2018-03-13,1.0
100282,2018-04-13,510.64
100837,2018-03-21,14393.31
100760,2018-10-31,657.69
100837,2018-11-23,23465.37
100638,2018-11-29,456.0
100913,2018-12-24,1425.0
100473,2018-11-02,1108.32
100679,2018-05-07,59.74
100718,2017-09-04,61.49
100638,2017-09-28,384.98
100625,2017-09-07,944.08
100837,2017-07-21,13557.25
100565,2017-07-03,533.92
100638,2018-11-29,52.0
100525,2018-11-02,750.0
100131,2017-07-13,1745.02
100838,2018-02-22,412.9
100639,2018-02-22,565.96
100326,2017-09-04,1696.49
100638,2018-04-12,68.0
100837,2018-05-01,15511.94
100457,2018-11-15,2724.89
100326,2018-08-02,1163.9
100760,2017-07-31,438.46
100946,2017-08-23,269.93
100838,2017-08-02,271.98
100639,2017-08-22,632.5
100018,2017-08-21,333.45
100638,2018-05-30,381.95
100625,2018-06-20,423.72
100838,2018-05-25,7241.57
100639,2018-05-22,583.54
100018,2018-04-30,769.5
100095,2018-07-02,1.0
100232,2018-05-02,549.42
100718,2018-04-20,389.54
100837,2018-07-23,17195.08
100837,2018-10-22,18786.65
100679,2018-07-09,222.52
100315,2017-07-19,1312.65
100473,2017-09-06,1108.32
100838,2017-09-06,412.89
100639,2017-09-22,435.9
100018,2017-09-21,447.66
100234,2017-08-09,324.11
100638,2017-07-27,2511.82
100525,2017-07-03,750.0
100775,2017-09-05,250.0
100131,2017-08-31,115.62
100946,2018-05-18,349.92
100775,2018-05-17,300.0
100565,2017-12-15,1208.47
100465,2018-06-29,40000.0
100120,2018-09-05,187.2
100946,2018-07-02,364.26
100167,2018-08-06,1017.93
100467,2018-10-23,709.03
100131,2018-09-13,1021.92
100679,2018-10-03,123.6
100946,2018-09-25,278.12
100232,2018-03-02,435.42
100625,2018-07-03,817.17
100679,2018-10-24,161.58
100095,2018-10-16,1070.46
100946,2018-11-30,141.11
100565,2018-11-02,492.23
100679,2017-09-18,206.43
100625,2017-07-03,746.7
100326,2017-09-04,963.31
100234,2018-11-02,384.32
100131,2017-07-13,1542.47
100340,2018-08-03,118.75
100679,2017-08-24,125.32
100600,2018-05-10,128.06
100424,2018-12-11,49.4
100467,2018-12-31,368.8
100728,2018-01-04,418.76
100728,2017-12-13,523.45
100473,2017-09-06,1108.32
100282,2017-07-31,540.76
100775,2018-07-10,300.0
100095,2018-07-02,1.0
100565,2018-06-15,611.22
100131,2018-07-05,1481.16
100600,2018-08-02,128.06
100679,2018-10-11,123.6
100837,2018-07-23,964.24
100131,2018-10-04,911.72
100679,2018-08-29,103.03
100600,2018-08-30,128.06
100131,2018-09-20,1000.29
